
"Order","Control ID","Deprecated","Statement","Criticality Label","Criticality Value","Percentage"
1.1,28951,0,"Status of the cramfs kernel module available in any installed kernel",SERIOUS,3,100% (1 of 1)
1.2,29271,0,"Status of 'install cramfs' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
1.3,29272,0,"Status of 'blacklist cramfs' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
1.4,29371,0,"Status of the freevxfs kernel module available in any installed kernel",SERIOUS,3,100% (1 of 1)
1.5,28954,0,"Status of 'install freevxfs' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
1.6,29290,0,"Status of 'blacklist freevxfs' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
1.7,29373,0,"Status of the hfs kernel module available in any installed kernel",SERIOUS,3,100% (1 of 1)
1.8,28955,0,"Status of 'install hfs' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
1.9,29293,0,"Status of 'blacklist hfs' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
2.1,29173,0,"Status of the autofs services are not in use",UNDEFINED,0,100% (1 of 1)
2.2,24745,0,"Status of autofs service using systemctl",SERIOUS,3,100% (1 of 1)
2.3,26187,0,"Status of the service autofs using systemctl (running status)",SERIOUS,3,100% (1 of 1)
2.4,22690,0,"Status of the 'avahi' package.",CRITICAL,4,100% (1 of 1)
2.5,18598,0,"Status of the 'avahi-daemon.socket' service",SERIOUS,3,100% (1 of 1)
2.6,29174,0,"Status of the avahi daemon services are not in use",SERIOUS,3,100% (1 of 1)
2.7,24736,0,"Status of the 'avahi-daemon.socket' service using systemctl",SERIOUS,3,100% (1 of 1)
2.8,24735,0,"Status of the 'avahi-daemon' service using systemctl",SERIOUS,3,100% (1 of 1)
2.9,23774,0,"Status of 'dhcp-server' package installed on the system",SERIOUS,3,100% (1 of 1)
3.1,25372,0,"Status of content of /sys/module/ipv6/parameters/disable file",SERIOUS,3,100% (1 of 1)
3.2,10155,0,"Status of the 'net.ipv6.conf.all.disable_ipv6' network parameter on the host",MEDIUM,2,100% (1 of 1)
3.3,10156,0,"Status of the 'net.ipv6.conf.default.disable_ipv6' network parameter at runtime",SERIOUS,3,100% (1 of 1)
3.4,29446,0,"Status of the wireless interfaces are disabled",SERIOUS,3,100% (1 of 1)
3.5,29448,0,"Status of the loaded wireless interfaces",SERIOUS,3,100% (1 of 1)
3.6,29447,0,"Status of the blacklisted wireless interfaces",SERIOUS,3,100% (1 of 1)
3.7,27895,0,"Status of the 'bluetooth' package on host",SERIOUS,3,0% (0 of 1)
3.8,9885,0,"Status of service 'Bluetooth' using systemd",SERIOUS,3,0% (0 of 1)
3.9,26649,0,"Status of the 'bluetooth' service using systemctl",SERIOUS,3,100% (1 of 1)
4.1,17296,0,"Status of 'nftables' package on the system",SERIOUS,3,100% (1 of 1)
4.2,12242,0,"Status of Load,Active and Sub unit of firewalld service",CRITICAL,4,100% (1 of 1)
4.3,11710,0,"Status of 'firewalld' package",MEDIUM,2,100% (1 of 1)
4.4,9334,0,"Status of the firewalld service",CRITICAL,4,100% (1 of 1)
4.5,20626,0,"Status of the 'nftables' service using systemctl",CRITICAL,4,0% (0 of 1)
4.6,17128,0,"Status of the nftables on the host",CRITICAL,4,0% (0 of 1)
4.8,17154,0,"Status of the IPv4 nftables ruleset on loopback interface",CRITICAL,4,100% (1 of 1)
4.9,29401,0,"Status of the firewalld loopback traffic ('ip saddr')",SERIOUS,3,0% (0 of 1)
5.1,9191,0,"Ownership set for the /etc/ssh/sshd_config file",CRITICAL,4,100% (1 of 1)
5.2,26770,0,"Ownership and permissions set for the files in /etc/ssh/sshd_config.d/",CRITICAL,4,0% (0 of 1)
5.3,29156,0,"Status of the file permissions and ownerships in the "Include" parameter within the '/etc/ssh/sshd_config' file",SERIOUS,3,0% (0 of 1)
5.4,29256,0,"Status of the permissions on SSH private host key files are configured",SERIOUS,3,100% (1 of 1)
5.5,29403,0,"Status of the ownership and permissions on SSH public host key files",SERIOUS,3,100% (1 of 1)
5.6,26995,0,"Status of ciphers in SSHD -T command",CRITICAL,4,0% (0 of 1)
5.7,26997,0,"Status of kexalgorithms in SSHD -T command",SERIOUS,3,100% (1 of 1)
5.8,26996,0,"Status of macs in SSHD -T command",SERIOUS,3,0% (0 of 1)
5.9,26880,0,"Status of the 'AllowUsers' setting in /etc/ssh/sshd_config and files included within /etc/ssh/sshd_config with 'Include' parameter",CRITICAL,4,0% (0 of 1)
6.1,7411,0,"Status of the currently installed 'AIDE' (advanced intrusion detection environment) package on the host",SERIOUS,3,100% (1 of 1)
6.2,10859,0,"Status of the 'periodically scheduled (crontab)' aide check (/etc/cron.* and /etc/crontab)",CRITICAL,4,0% (0 of 1)
6.3,29316,0,"Status of the filesystem integrity",SERIOUS,3,0% (0 of 1)
6.4,17971,0,"Status of the 'aidecheck.service' service",CRITICAL,4,0% (0 of 1)
6.5,17972,0,"Status of the 'aidecheck.timer' service",CRITICAL,4,0% (0 of 1)
6.6,17973,0,"Running status of the 'aidecheck.timer' using systemctl status command",CRITICAL,4,0% (0 of 1)
6.7,25395,0,"Status of audit tools (/sbin/au* and /sbin/audit*) integrity configuration in '/etc/aide.conf' and '/etc/aide.conf.d/*.conf' files on the system",SERIOUS,3,0% (0 of 1)
6.8,23747,0,"Status of 'systemd-journald.service' service",CRITICAL,4,100% (1 of 1)
6.9,27145,0,"Status of 'systemd-journald' service using 'systemctl' on the host",SERIOUS,3,100% (1 of 1)
7.1,2152,0,"Permissions set for the '/etc/passwd' file",URGENT,5,100% (1 of 1)
7.2,4989,0,"Ownership set for the '/etc/passwd' file",URGENT,5,100% (1 of 1)
7.3,10690,0,"Status of the Permissions set for the '/etc/passwd-' file",CRITICAL,4,100% (1 of 1)
7.4,10691,0,"Status of the Ownership set for the '/etc/passwd-' file",CRITICAL,4,100% (1 of 1)
7.5,2189,0,"Status of the 'Permissions' settings for the '/etc/group' file",CRITICAL,4,100% (1 of 1)
